Symbol,Strategy,Trades,Wins,Losses,Win Rate %,Final Balance,Return %
CVE.TO,1 green candles -> LONG,28,17,11,60.71,1081.19,8.12
TRI.TO,1 red candles -> LONG,20,14,6,70.0,1079.4,7.94
IFC.TO,1 green candles -> LONG,22,12,10,54.55,1069.0,6.9
CJT.TO,1 green candles -> LONG,21,13,8,61.9,1047.99,4.8
BN.TO,1 red candles -> LONG,26,10,16,38.46,1035.71,3.57
LSPD.TO,1 red candles -> LONG,20,11,9,55.0,1025.18,2.52
DOL.TO,1 red candles -> LONG,21,11,10,52.38,1023.39,2.34
ENB.TO,1 green candles -> LONG,25,15,10,60.0,1016.66,1.67
CLS.TO,1 red candles -> LONG,22,11,11,50.0,1007.92,0.79
GSY.TO,1 red candles -> LONG,22,10,12,45.45,1006.12,0.61
CCO.TO,1 red candles -> LONG,24,11,13,45.83,999.07,-0.09
NTR.TO,1 red candles -> LONG,22,11,11,50.0,993.84,-0.62
DOL.TO,1 green candles -> LONG,20,10,10,50.0,986.36,-1.36
CJT.TO,1 red candles -> LONG,20,9,11,45.0,964.83,-3.52
ATD.TO,1 red candles -> LONG,23,10,13,43.48,958.38,-4.16
EQB.TO,1 red candles -> LONG,22,8,14,36.36,921.33,-7.87
LSPD.TO,1 green candles -> LONG,20,10,10,50.0,916.62,-8.34
SHOP.TO,1 red candles -> LONG,23,11,12,47.83,915.66,-8.43
WSP.TO,1 red candles -> LONG,27,11,16,40.74,889.86,-11.01
OTEX.TO,1 green candles -> LONG,22,8,14,36.36,871.63,-12.84
CSU.TO,1 green candles -> LONG,22,9,13,40.91,816.04,-18.4
TRI.TO,1 green candles -> LONG,21,7,14,33.33,774.92,-22.51
