Strategy,Trades,Wins,Losses,Final Balance,Return %,Avg PnL Per Trade,Overall Win Rate %
2 green candles -> next red,2348,1122,1226,1073.1933333333334,7.319444444444445,0.6438888888888888,47.79
1 red candles -> next red,4374,2169,2205,1070.013888888889,7.001666666666666,0.24444444444444446,49.59
2 red candles -> next red,2167,1059,1108,1053.9166666666667,5.392222222222222,0.32722222222222225,48.87
3 red candles -> next red,1059,526,533,1047.2505555555554,4.7250000000000005,0.6122222222222222,49.67
5 green candles -> next green,222,130,92,1039.86375,3.98625,1.52,58.56
6 green candles -> next red,21,9,12,1037.44,3.74,1.78,42.86
5 red candles -> next red,79,44,35,1030.4733333333334,3.046666666666667,1.18,55.7
4 red candles -> next red,479,241,238,1017.9060000000001,1.79,0.32733333333333337,50.31
3 green candles -> next red,1207,568,639,1010.0061111111112,1.0016666666666667,0.39444444444444443,47.06
1 green candles -> next green,4556,2356,2200,1009.9383333333333,0.9938888888888885,-0.004444444444444449,51.71
4 green candles -> next green,614,336,278,1008.6576470588235,0.8647058823529411,-0.25411764705882356,54.72
4 green candles -> next red,614,276,338,993.729411764706,-0.6270588235294119,0.35647058823529415,44.95
3 green candles -> next green,1207,633,574,989.9122222222223,-1.0083333333333333,-0.3772222222222223,52.44
1 green candles -> next red,4556,2173,2383,987.2188888888888,-1.2788888888888892,-0.005000000000000017,47.7
4 red candles -> next green,479,236,243,985.4606666666666,-1.4533333333333336,-0.24600000000000008,49.27
5 red candles -> next green,79,35,44,962.57,-3.7433333333333336,-1.43,44.3
1 red candles -> next green,4374,2180,2194,961.3244444444445,-3.868333333333333,-0.10722222222222222,49.84
6 green candles -> next green,21,12,9,960.26,-3.97,-1.89,57.14
5 green candles -> next red,222,92,130,957.2425,-4.2775,-1.60625,41.44
3 red candles -> next green,1059,529,530,952.4677777777779,-4.753333333333334,-0.6355555555555557,49.95
2 red candles -> next green,2167,1097,1070,951.3805555555555,-4.862777777777778,-0.3055555555555556,50.62
2 green candles -> next green,2348,1211,1137,932.2777777777778,-6.772777777777778,-0.5750000000000001,51.58
